student_id,term_name,program_id,program_name,school,class_level,student_profile,continuing_student_flag,hold_status,active_hold_flag,hold_type,registration_status,credits_completed,expected_credits,upper_division_completed,expected_upper_division,required_completion_ratio,osu_gpa,residence_met_flag,core_met_flag,world_language_met_flag,professional_progression_met_flag,audit_status,audit_reason,audit_issue_group,graduation_stage,eligible_flag,applied_flag,award_ready_flag,queue_name,queue_priority,urgency,issue_summary,recommended_action
REG-00032,2026 Winter,BANA,Business Analytics,Business,Sophomore,steady,1,No Hold,0,None,registered,75,84,7,9,0.555,2.89,1,1,0,1,near_risk,Credit pace behind term expectation,Credits,not_in_window,0,0,0,Watchlist,3,Medium,Credit pace behind term expectation,Monitor progress and confirm the next registration plan before census.
REG-00033,2026 Winter,SEED,Secondary Education,Education,Junior,strong,1,No Hold,0,None,registered,136,132,28,34,0.966,3.73,1,1,0,1,near_risk,Upper-division progress below plan,Upper Division,not_in_window,0,0,0,Watchlist,3,Medium,Upper-division progress below plan,Monitor progress and confirm the next registration plan before census.
REG-00034,2026 Winter,ELED,Elementary Education,Education,Sophomore,risk,1,No Hold,0,None,registered,48,84,0,9,0.39,3.12,1,1,0,1,off_track,Credit pace significantly behind term expectation,Credits,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,Credit pace significantly behind term expectation,Review audit exceptions and create a term-by-term completion plan.
REG-00035,2026 Winter,BANA,Business Analytics,Business,Sophomore,steady,1,No Hold,0,None,registered,86,84,8,9,0.431,3.21,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00036,2026 Winter,SEED,Secondary Education,Education,Freshman,strong,0,No Hold,0,None,registered,40,36,6,0,0.18,3.33,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00037,2026 Winter,ELED,Elementary Education,Education,Freshman,strong,0,No Hold,0,None,registered,45,36,0,0,0.313,3.22,1,0,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00038,2026 Winter,BUAD,Business Administration,Business,Freshman,steady,0,No Hold,0,None,registered,31,36,0,0,0.183,3.24,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00039,2026 Winter,ELED,Elementary Education,Education,Senior,steady,1,No Hold,0,None,registered,172,174,66,60,0.918,3.14,1,1,1,0,off_track,Professional progression requirements incomplete,Professional Progression,not_eligible,0,0,0,Degree Audit Intervention,2,Medium,Professional progression requirements incomplete,Review audit exceptions and create a term-by-term completion plan.
REG-00040,2026 Winter,SEED,Secondary Education,Education,Sophomore,strong,1,No Hold,0,None,registered,95,84,14,9,0.558,3.33,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00041,2026 Winter,ELED,Elementary Education,Education,Sophomore,steady,1,Active Hold,1,Academic,blocked,81,84,0,9,0.497,3.37,1,0,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Hold Resolution,1,High,Academic hold blocking registration,Schedule advisor review and clear the academic hold.
REG-00042,2026 Winter,BUAD,Business Administration,Business,Sophomore,steady,1,No Hold,0,None,registered,99,84,3,9,0.476,3.17,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00043,2026 Winter,SEED,Secondary Education,Education,Sophomore,steady,1,No Hold,0,None,registered,85,84,16,9,0.493,3.54,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00044,2026 Winter,ELED,Elementary Education,Education,Junior,steady,1,No Hold,0,None,registered,146,132,31,34,0.547,3.33,1,1,1,1,off_track,Major requirements materially behind,Major Requirements,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,Major requirements materially behind,Book degree-audit review and build a required-course recovery plan.
REG-00045,2026 Winter,SEED,Secondary Education,Education,Sophomore,steady,1,No Hold,0,None,registered,77,84,4,9,0.43,2.79,1,1,1,1,off_track,GPA below 3.0 program floor,GPA,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,GPA below 3.0 program floor,Route to advising for academic recovery and eligibility review.
REG-00046,2026 Winter,BANA,Business Analytics,Business,Senior,steady,1,No Hold,0,None,registered,181,174,54,60,1.0,3.01,1,1,1,1,near_risk,Upper-division progress below plan,Upper Division,not_eligible,0,0,0,Watchlist,3,Medium,Upper-division progress below plan,Monitor progress and confirm the next registration plan before census.
REG-00047,2026 Winter,SEED,Secondary Education,Education,Freshman,steady,0,No Hold,0,None,registered,19,36,0,0,0.202,3.18,1,1,0,1,off_track,Credit pace significantly behind term expectation,Credits,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,Credit pace significantly behind term expectation,Review audit exceptions and create a term-by-term completion plan.
REG-00048,2026 Winter,BANA,Business Analytics,Business,Sophomore,strong,1,No Hold,0,None,registered,99,84,20,9,0.513,3.45,1,0,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00049,2026 Winter,BUAD,Business Administration,Business,Sophomore,steady,1,No Hold,0,None,registered,82,84,7,9,0.429,3.06,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00050,2026 Winter,BANA,Business Analytics,Business,Junior,steady,1,No Hold,0,None,registered,127,132,31,34,0.771,2.93,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00051,2026 Winter,BUAD,Business Administration,Business,Sophomore,steady,1,Active Hold,1,Financial,blocked,93,84,9,9,0.492,3.18,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Hold Resolution,1,High,Financial hold blocking registration,Resolve balance or payment-plan issue before registration release.
REG-00052,2026 Winter,BANA,Business Analytics,Business,Junior,steady,1,No Hold,0,None,registered,122,132,44,34,0.707,3.08,1,1,1,1,near_risk,Credit pace behind term expectation,Credits,not_in_window,0,0,0,Watchlist,3,Medium,Credit pace behind term expectation,Monitor progress and confirm the next registration plan before census.
REG-00053,2026 Winter,ELED,Elementary Education,Education,Sophomore,steady,1,No Hold,0,None,registered,91,84,4,9,0.526,2.55,1,1,0,1,off_track,GPA below 3.0 program floor,GPA,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,GPA below 3.0 program floor,Route to advising for academic recovery and eligibility review.
REG-00054,2026 Winter,BANA,Business Analytics,Business,Senior,steady,1,No Hold,0,None,registered,191,174,65,60,0.929,3.43,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_eligible,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00055,2026 Winter,ELED,Elementary Education,Education,Junior,strong,1,Active Hold,1,Academic,registered,145,132,41,34,0.831,3.46,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00056,2026 Winter,SEED,Secondary Education,Education,Junior,strong,1,No Hold,0,None,not_registered,135,132,37,34,0.794,3.58,1,1,1,0,off_track,Professional progression requirements incomplete,Professional Progression,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,Professional progression requirements incomplete,Review audit exceptions and create a term-by-term completion plan.
REG-00057,2026 Winter,BUAD,Business Administration,Business,Sophomore,strong,1,No Hold,0,None,registered,98,84,24,9,0.399,3.43,1,1,1,1,near_risk,Major requirements behind plan,Major Requirements,not_in_window,0,0,0,Watchlist,3,Medium,Major requirements behind plan,Monitor progress and confirm the next registration plan before census.
REG-00058,2026 Winter,BUAD,Business Administration,Business,Senior,strong,1,No Hold,0,None,registered,196,174,70,60,0.985,3.28,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_eligible,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00059,2026 Winter,SEED,Secondary Education,Education,Freshman,steady,0,No Hold,0,None,registered,31,36,0,0,0.285,3.47,1,0,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00060,2026 Winter,BANA,Business Analytics,Business,Freshman,steady,0,No Hold,0,None,registered,35,36,0,0,0.134,3.23,1,0,0,1,near_risk,Major requirements behind plan,Major Requirements,not_in_window,0,0,0,Watchlist,3,Medium,Major requirements behind plan,Monitor progress and confirm the next registration plan before census.
REG-00061,2026 Winter,BANA,Business Analytics,Business,Freshman,steady,0,No Hold,0,None,registered,25,36,0,0,0.138,3.26,1,0,1,1,near_risk,Credit pace behind term expectation,Credits,not_in_window,0,0,0,Watchlist,3,Medium,Credit pace behind term expectation,Monitor progress and confirm the next registration plan before census.
REG-00062,2026 Winter,BANA,Business Analytics,Business,Senior,steady,1,Active Hold,1,Administrative,blocked,153,174,61,60,0.981,2.91,1,1,1,1,off_track,Credit pace significantly behind term expectation,Credits,not_eligible,0,0,0,Hold Resolution,1,High,Administrative hold blocking registration,Resolve missing records or administrative documentation.
REG-00063,2026 Winter,BUAD,Business Administration,Business,Senior,steady,1,Active Hold,1,Administrative,blocked,178,174,52,60,1.0,3.06,1,1,1,1,near_risk,Upper-division progress below plan,Upper Division,not_eligible,0,0,0,Hold Resolution,1,High,Administrative hold blocking registration,Resolve missing records or administrative documentation.
REG-00064,2026 Winter,BUAD,Business Administration,Business,Sophomore,strong,1,Active Hold,1,Administrative,blocked,98,84,10,9,0.562,3.85,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Hold Resolution,1,High,Administrative hold blocking registration,Resolve missing records or administrative documentation.
REG-00065,2026 Winter,SEED,Secondary Education,Education,Freshman,risk,0,No Hold,0,None,registered,33,36,0,0,0.109,2.42,1,1,0,1,off_track,GPA below 3.0 program floor,GPA,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,GPA below 3.0 program floor,Route to advising for academic recovery and eligibility review.
REG-00066,2026 Winter,ELED,Elementary Education,Education,Senior,strong,1,No Hold,0,None,registered,181,174,72,60,0.994,3.51,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_eligible,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00067,2026 Winter,ELED,Elementary Education,Education,Senior,steady,1,No Hold,0,None,registered,189,174,58,60,1.0,3.43,1,0,1,1,off_track,Core curriculum incomplete,Core Curriculum,not_eligible,0,0,0,Degree Audit Intervention,2,Medium,Core curriculum incomplete,Review audit exceptions and create a term-by-term completion plan.
REG-00068,2026 Winter,BUAD,Business Administration,Business,Freshman,steady,0,Active Hold,1,Administrative,blocked,32,36,1,0,0.168,2.88,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Hold Resolution,1,High,Administrative hold blocking registration,Resolve missing records or administrative documentation.
REG-00069,2026 Winter,SEED,Secondary Education,Education,Junior,strong,1,No Hold,0,None,registered,130,132,36,34,0.715,3.6,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00070,2026 Winter,BUAD,Business Administration,Business,Sophomore,risk,1,No Hold,0,None,registered,59,84,8,9,0.401,2.68,1,0,0,1,off_track,Credit pace significantly behind term expectation,Credits,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,Credit pace significantly behind term expectation,Review audit exceptions and create a term-by-term completion plan.
REG-00071,2026 Winter,BUAD,Business Administration,Business,Sophomore,strong,1,Active Hold,1,Administrative,blocked,83,84,20,9,0.591,3.5,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Hold Resolution,1,High,Administrative hold blocking registration,Resolve missing records or administrative documentation.
REG-00072,2026 Winter,SEED,Secondary Education,Education,Sophomore,strong,1,No Hold,0,None,not_registered,82,84,18,9,0.477,3.62,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00073,2026 Winter,BUAD,Business Administration,Business,Sophomore,risk,1,No Hold,0,None,registered,58,84,8,9,0.445,2.75,1,0,0,1,off_track,Credit pace significantly behind term expectation,Credits,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,Credit pace significantly behind term expectation,Review audit exceptions and create a term-by-term completion plan.
REG-00074,2026 Winter,BUAD,Business Administration,Business,Freshman,steady,0,No Hold,0,None,registered,25,36,13,0,0.152,3.3,1,0,0,1,near_risk,Credit pace behind term expectation,Credits,not_in_window,0,0,0,Watchlist,3,Medium,Credit pace behind term expectation,Monitor progress and confirm the next registration plan before census.
REG-00075,2026 Winter,SEED,Secondary Education,Education,Sophomore,steady,1,No Hold,0,None,registered,70,84,0,9,0.511,3.23,1,0,1,1,near_risk,Credit pace behind term expectation,Credits,not_in_window,0,0,0,Watchlist,3,Medium,Credit pace behind term expectation,Monitor progress and confirm the next registration plan before census.
REG-00076,2026 Winter,ELED,Elementary Education,Education,Sophomore,strong,1,No Hold,0,None,registered,79,84,12,9,0.572,3.48,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00077,2026 Winter,BANA,Business Analytics,Business,Senior,steady,1,No Hold,0,None,registered,167,174,50,60,1.0,3.11,1,1,1,1,off_track,Upper-division progress materially behind,Upper Division,not_eligible,0,0,0,Degree Audit Intervention,2,Medium,Upper-division progress materially behind,Review audit exceptions and create a term-by-term completion plan.
REG-00078,2026 Winter,ELED,Elementary Education,Education,Junior,steady,1,No Hold,0,None,registered,146,132,18,34,0.815,2.83,1,1,0,0,off_track,GPA below 3.0 program floor,GPA,not_in_window,0,0,0,Degree Audit Intervention,2,Medium,GPA below 3.0 program floor,Route to advising for academic recovery and eligibility review.
REG-00079,2026 Winter,BANA,Business Analytics,Business,Freshman,steady,0,No Hold,0,None,not_registered,40,36,6,0,0.176,2.94,1,0,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00080,2026 Winter,BANA,Business Analytics,Business,Sophomore,steady,1,No Hold,0,None,registered,77,84,0,9,0.523,2.8,1,1,1,1,near_risk,Credit pace behind term expectation,Credits,not_in_window,0,0,0,Watchlist,3,Medium,Credit pace behind term expectation,Monitor progress and confirm the next registration plan before census.
REG-00081,2026 Winter,SEED,Secondary Education,Education,Senior,risk,1,Active Hold,1,Financial,blocked,162,174,49,60,0.94,2.42,1,1,1,1,off_track,GPA below 3.0 program floor,GPA,not_eligible,0,0,0,Hold Resolution,1,High,Financial hold blocking registration,Resolve balance or payment-plan issue before registration release.
REG-00082,2026 Winter,BUAD,Business Administration,Business,Sophomore,steady,1,No Hold,0,None,registered,76,84,3,9,0.413,3.19,1,0,1,1,near_risk,Credit pace behind term expectation,Credits,not_in_window,0,0,0,Watchlist,3,Medium,Credit pace behind term expectation,Monitor progress and confirm the next registration plan before census.
REG-00083,2026 Winter,SEED,Secondary Education,Education,Senior,steady,1,No Hold,0,None,registered,166,174,55,60,0.93,3.03,1,1,1,1,near_risk,GPA near program floor,GPA,not_eligible,0,0,0,Watchlist,3,Medium,GPA near program floor,Monitor progress and confirm the next registration plan before census.
REG-00084,2026 Winter,SEED,Secondary Education,Education,Senior,steady,1,No Hold,0,None,registered,166,174,60,60,0.981,3.18,1,1,1,1,near_risk,GPA near program floor,GPA,not_eligible,0,0,0,Watchlist,3,Medium,GPA near program floor,Monitor progress and confirm the next registration plan before census.
REG-00085,2026 Winter,BUAD,Business Administration,Business,Freshman,strong,0,No Hold,0,None,registered,50,36,4,0,0.253,3.33,1,0,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00086,2026 Winter,BUAD,Business Administration,Business,Freshman,strong,0,No Hold,0,None,registered,54,36,6,0,0.32,3.34,1,0,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00087,2026 Winter,BUAD,Business Administration,Business,Freshman,steady,0,No Hold,0,None,registered,35,36,0,0,0.166,3.15,1,1,0,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00088,2026 Winter,ELED,Elementary Education,Education,Junior,strong,1,No Hold,0,None,registered,161,132,46,34,0.812,3.42,1,0,1,1,near_risk,Core curriculum still open,Core Curriculum,not_in_window,0,0,0,Watchlist,3,Medium,Core curriculum still open,Monitor progress and confirm the next registration plan before census.
REG-00089,2026 Winter,BANA,Business Analytics,Business,Junior,steady,1,No Hold,0,None,registered,126,132,36,34,0.658,3.1,1,1,1,1,near_risk,Major requirements behind plan,Major Requirements,not_in_window,0,0,0,Watchlist,3,Medium,Major requirements behind plan,Monitor progress and confirm the next registration plan before census.
REG-00090,2026 Winter,SEED,Secondary Education,Education,Senior,strong,1,No Hold,0,None,registered,183,174,62,60,1.0,3.34,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,applied_pending,1,1,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00091,2026 Winter,ELED,Elementary Education,Education,Sophomore,strong,1,No Hold,0,None,registered,100,84,24,9,0.571,3.44,1,1,1,1,on_track,Pace and policy checks satisfied,General Review,not_in_window,0,0,0,Monitor,4,Low,Pace and policy checks satisfied,No immediate intervention required.
REG-00092,2026 Winter,ELED,Elementary Education,Education,Sophomore,steady,1,Active Hold,1,Academic,blocked,86,84,7,9,0.433,2.87,1,0,0,1,off_track,GPA below 3.0 program floor,GPA,not_in_window,0,0,0,Hold Resolution,1,High,Academic hold blocking registration,Schedule advisor review and clear the academic hold.
